index,category,utterance,old_action,new_action,rule,old_labels,new_labels
1063,1,"all this abstract math, can you show me where we use this in real life?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, curiosity, physical, question, representation_shift, request_representation, transfer_attempt","abstraction_attempt, curiosity, question, representation_shift, request_representation, transfer_attempt"
1071,1,"how can i draw the graphs for these linear equations, like what points to take? can you show me how to plot it on a graph paper?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, diagrammatic, graphical, question, representation_shift, request_representation","curiosity, diagrammatic, graphical, physical, question, representation_shift, request_representation"
1076,1,"i am not understanding from this text, can you give me a small story or an example, like real life se?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"confusion, curiosity, environmental_feedback, example_request, physical, question, transfer_attempt, verbal_analogy","confusion, curiosity, environmental_feedback, example_request, question, transfer_attempt, verbal_analogy"
1090,1,"this is all theoretical na, where is this useful? can you give a real life example for this?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"curiosity, example_request, physical, question, transfer_attempt","curiosity, example_request, question, transfer_attempt"
1097,1,"this whole chapter is so abstract, i don't understand the point. can you give me like one simple example from real life?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, simplification_request, transfer_attempt","abstraction_attempt, confusion, curiosity, example_request, question, simplification_request, transfer_attempt"
1104,1,"sin 30, cos 60, all these values confuse me. my friend told me about some hand trick, can you show me how that works?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, confusion, curiosity, physical, question, representation_shift, request_representation, shortcut_seeking","algebraic, confusion, curiosity, question, representation_shift, request_representation, shortcut_seeking"
1108,1,this chapter is just too abstract. can you explain it like a story or a real life thing so it makes sense?,EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt, verbal_analogy","abstraction_attempt, curiosity, question, transfer_attempt, verbal_analogy"
1112,2,"this trigonometry, like what is the use of sin cos in real life, where do we use it na?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1117,2,"this is all theoretical na, where do we actually use this in real life?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1122,2,"sir this sin sq theta plus cos sq theta equals 1 identity, where do we even use this in real life? like what's it's application?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1124,2,"similar figures, like what all things are similar around us? can you give some examples?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"curiosity, example_request, physical, question, transfer_attempt","curiosity, example_request, question, transfer_attempt"
1125,2,like for what work we use all this math na? any practical use?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1133,2,"quadratic equations, like where do we even use them in real life? like is it for sports or something?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1138,2,"theoretical probability, is it like how we calculate chances in ludo or cards? without actually playing?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, procedural_focus, question","algebraic, curiosity, procedural_focus, question"
1143,2,sir where do we use this in real life? like what is the point of learning this if i am not going to be a scientist?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1152,2,"sir this trigonometry na, like what is the point of learning this? where do we even use it in real life?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1154,2,this proof by contradiction method is like saying a lie to catch a liar na? can you give a simple everyday example not math?,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, algebraic, curiosity, example_request, procedural_focus, question, simplification_request","abstraction_attempt, algebraic, curiosity, example_request, procedural_focus, question, simplification_request"
1158,2,"where else do they use this stuff, like outside school?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1159,2,"like in cricket, when they say average score, is that mean or median? when do we use which one in real life?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1162,2,sin square theta plus cos square theta equals one. like how does this identity help me in real life? does it have any use outside math?,EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1163,2,"all these numbers and formulas, like what is the big picture? like what is the point of learning this na?",REPRESENTATION_TRANSLATION,EXPLAIN,utility->explain,"curiosity, question, representation_shift, request_representation","curiosity, question"
1170,2,"the you shape graph of quadratic equations, does it look like the path of a ball thrown up in the air? is it similar to that arc?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, diagrammatic, graphical, physical, question, representation_shift, request_representation","algebraic, curiosity, diagrammatic, graphical, question, representation_shift, request_representation"
1171,2,"BPT theorem, does this mean if I have a picture with parallel lines in real life, I can measure sides like this? what's a practical example?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, diagrammatic, physical, question, representation_shift, request_representation, self_monitoring, transfer_attempt","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation, self_monitoring, transfer_attempt"
1173,2,"can you explain this in simpler words, like for a small kid? this is too high-level.",SOCRATIC_Q,EXPLAIN,confusion->explain,"curiosity, environmental_feedback, question, simplification_request","curiosity, environmental_feedback, question, simplification_request"
1176,2,"this proof by contradiction, can you give a simple example like outside math? it's confusing with numbers.",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, algebraic, confusion, curiosity, example_request, question, simplification_request","abstraction_attempt, algebraic, confusion, curiosity, example_request, question, simplification_request"
1177,2,what's the point of learning this? where will i use this in real life?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1180,2,so quadratic equations make like a curve path? like a ball thrown? is that the connection?,REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, graphical, physical, question, representation_shift, request_representation","algebraic, curiosity, graphical, question, representation_shift, request_representation"
1183,2,"can you give me an everyday example for this na, something that makes sense outside of math class?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, example_request, question","curiosity, example_request, question"
1189,2,i don't get the big picture na. what is this all leading to? like where is the main idea?,REPRESENTATION_TRANSLATION,EXPLAIN,utility->explain,"confusion, curiosity, question, representation_shift, request_representation","confusion, curiosity, question"
1190,2,"when we calculate volume of combined solids, is it like packing things into a box or like measuring water capacity? which one is it more like?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, diagrammatic, physical, procedural_focus, question","algebraic, curiosity, diagrammatic, procedural_focus, question"
1194,2,"can you give me a non-math example for like, how this proof by contradiction thing works, like in daily life, not numbers?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, algebraic, curiosity, example_request, physical, question, transfer_attempt, verbal_analogy","abstraction_attempt, algebraic, curiosity, example_request, question, transfer_attempt, verbal_analogy"
1195,2,"nth term of AP, where else can we use this? like in some other subject or a different kind of problem outside math textbook?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, conflict, curiosity, physical, question, transfer_attempt","algebraic, conflict, curiosity, question, transfer_attempt"
1196,2,"why are we learning this chapter only? like what's the big picture here, what kind of problems can we solve?",REPRESENTATION_TRANSLATION,EXPLAIN,utility->explain,"curiosity, procedural_focus, question, representation_shift, request_representation","curiosity, procedural_focus, question"
1199,2,"can you explain the main idea of this topic like for a 5th grader? just the very basic thing, not too complicated words.",SOCRATIC_Q,EXPLAIN,confusion->explain,"curiosity, environmental_feedback, question, simplification_request","curiosity, environmental_feedback, question, simplification_request"
1202,2,when will i ever use this in real life? like what's the point of learning this if i don't use it anywhere outside school?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1209,2,can you explain this in non-math terms? like with a story or something simple from daily life?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, simplification_request, transfer_attempt, verbal_analogy","curiosity, question, simplification_request, transfer_attempt, verbal_analogy"
1212,2,"this proof by contradiction, it's like a debate na? you assume opposite to prove your point. can you give a simple example outside math?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, algebraic, curiosity, example_request, question, simplification_request","abstraction_attempt, algebraic, curiosity, example_request, question, simplification_request"
1213,2,"so this parabola thing, like when a ball is thrown, the path is like a parabola na? does that have anything to do with zeroes?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, graphical, physical, question, representation_shift, request_representation","algebraic, curiosity, graphical, question, representation_shift, request_representation"
1219,2,"i get the steps, but what's the big picture? like what concept are we trying to understand here?",REPRESENTATION_TRANSLATION,EXPLAIN,utility->explain,"abstraction_attempt, curiosity, procedural_focus, question, representation_shift, request_representation, self_monitoring","abstraction_attempt, curiosity, procedural_focus, question, self_monitoring"
1221,2,"this whole concept na, can we like try to explain it using something totally unrelated from daily life? like a game or a story?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt, verbal_analogy","abstraction_attempt, curiosity, question, transfer_attempt, verbal_analogy"
1222,2,"This trig chapter, what is the use of it in our daily life? Like for what purpose they invented it?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1225,2,"So quadratic equations, they're always about things that curve, like throwing a ball or something?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, graphical, physical, question, representation_shift, request_representation","algebraic, curiosity, graphical, question, representation_shift, request_representation"
1234,2,why are we even learning all this maths? where do we use this in daily life?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1244,2,"how is this concept useful in daily life, like where can I see it applied?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, curiosity, physical, question, representation_shift, request_representation, transfer_attempt","abstraction_attempt, curiosity, question, representation_shift, request_representation, transfer_attempt"
1252,2,"AP is all about like series na? how does it help in daily life, like what job uses AP?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1258,2,"if probability is between 0 and 1 only, then how can one say there's 100% chance or 0% chance for anything in real life?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1264,2,Can you give a simple everyday example for this math thing? It feels too abstract.,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, curiosity, example_request, question, simplification_request","abstraction_attempt, curiosity, example_request, question, simplification_request"
1275,2,"AP is like that pattern things, no? where can we see AP in daily life, like what examples?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1277,2,"that you-shape graph of quadratic, like a thrown ball's path? is it the same concept, like how the zeroes are where it lands?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, algebraic, curiosity, diagrammatic, graphical, physical, question, representation_shift, request_representation","abstraction_attempt, algebraic, curiosity, diagrammatic, graphical, question, representation_shift, request_representation"
1280,2,"this surface area volume n all, for what practical purpose do we calculate this? like making a tank or something?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, procedural_focus, question, transfer_attempt","algebraic, curiosity, procedural_focus, question, transfer_attempt"
1283,2,"okay okay i get the steps now, but where will i use this in real life? like what is the point of learning this?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, procedural_focus, question, self_monitoring, transfer_attempt","curiosity, procedural_focus, question, self_monitoring, transfer_attempt"
1290,2,the contradiction method is confusing. can you give an example from everyday life where we prove something by showing it's opposite is false?,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, confusion, curiosity, example_request, procedural_focus, question","abstraction_attempt, confusion, curiosity, example_request, procedural_focus, question"
1292,2,"BPT theorem, is it used in like construction or architecture also? where can I see this in real life?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1304,2,"the you-shape graph of quadratic, it's like a fountain's water path or a bridge arch na? do the zeroes mean where it hits the ground?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, diagrammatic, graphical, physical, question, representation_shift, request_representation","algebraic, curiosity, diagrammatic, graphical, question, representation_shift, request_representation"
1305,2,"all this geometry and shapes, where do we actually use it outside school na? like in engineering or architecture?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1315,2,where will i use this in real life? like what is the point of learning this?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1320,2,"proof by contradiction is like proving something is not true to show it *is* true? can you give a simple real-life example for this logic, not math only?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, algebraic, curiosity, example_request, question, simplification_request","abstraction_attempt, algebraic, curiosity, example_request, question, simplification_request"
1321,2,"AP is sequences na, like 2, 4, 6... where do we see this in daily life? is it like counting stairs or something?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1334,2,"AP questions in real life, like what kind of situations? is it like salary increment every year or something?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1336,2,Can you give me a real-world example of this? Like something I see everyday?,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, example_request, question","curiosity, example_request, question"
1341,2,"this AP sum formula, what is it used for like in real life? any examples where we actually add things like this?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, procedural_focus, question, transfer_attempt","algebraic, curiosity, procedural_focus, question, transfer_attempt"
1345,2,"can you explain this idea using something simple, like not numbers or equations, something from daily life?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, simplification_request, transfer_attempt","curiosity, question, simplification_request, transfer_attempt"
1364,2,"AP is like sequence only na? where do we see AP in daily life, like besides those salary increase problems? something cool?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1368,2,why are the lengths of tangents from an external point equal always? like does it make a symmetrical figure or something? is there a practical example where this applies?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, diagrammatic, physical, question, transfer_attempt","curiosity, diagrammatic, question, transfer_attempt"
1379,2,"I'm not getting this point. Can you give me an everyday example, like not from math, to understand it better?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, example_request, question","curiosity, example_request, question"
1380,2,"quadratic equations, like that 'x square' thing, how does it help solve problems like finding area of a garden or something practical?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, procedural_focus, question, transfer_attempt","algebraic, curiosity, procedural_focus, question, transfer_attempt"
1382,2,this whole concept is so abstract. can you show me where it is used in real life?,REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, curiosity, physical, question, representation_shift, request_representation, transfer_attempt","abstraction_attempt, curiosity, question, representation_shift, request_representation, transfer_attempt"
1392,2,"this is too much theory, can you just give me a simple real-life example to make sense?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, cognitive_overload, curiosity, example_request, question, shortcut_seeking, simplification_request","abstraction_attempt, cognitive_overload, curiosity, example_request, question, shortcut_seeking, simplification_request"
1402,2,"can you show me a real life example of this, like something i see everyday?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, physical, question, representation_shift, request_representation, transfer_attempt","curiosity, question, representation_shift, request_representation, transfer_attempt"
1410,2,"not this type of question, can you give me something more practical, like a word problem type?",WORKED_EXAMPLE,WORKED_EXAMPLE,(labels-only),"curiosity, example_request, physical, question, transfer_attempt","curiosity, example_request, question, transfer_attempt"
1412,2,can you give an example of this in our everyday life na? like what cricket example can explain it?,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, example_request, question","curiosity, example_request, question"
1414,2,"the parabola graph, it's like a ball's path, right? so the zeroes are where the ball hits the ground?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, answer_attempt, curiosity, graphical, physical, question, representation_shift, request_representation","algebraic, answer_attempt, curiosity, graphical, question, representation_shift, request_representation"
1418,2,probability is like predicting cricket match results or card games na? how does the formula help there?,EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, procedural_focus, question","algebraic, curiosity, procedural_focus, question"
1421,2,can you explain this with a real-life example or something i can relate to? like from games or daily stuff na.,SOCRATIC_Q,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, question, self_monitoring","curiosity, example_request, question, self_monitoring"
1425,2,"i am not getting this concept very well, can you explain it using a daily life example, like something from my school or home?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, high_confidence, physical, question, transfer_attempt","abstraction_attempt, curiosity, high_confidence, question, transfer_attempt"
1440,2,"APs are just patterns na? like when we arrange chairs in rows, is that an AP? Give me an example of AP in daily life.",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"algebraic, curiosity, example_request, physical, question, transfer_attempt","algebraic, curiosity, example_request, question, transfer_attempt"
1447,2,"i don't understand the purpose of all these formulas, can you give me some simple example from daily life where we would use this concept?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, simplification_request, transfer_attempt","abstraction_attempt, confusion, curiosity, example_request, question, simplification_request, transfer_attempt"
1453,2,"this you-shape graph for quadratic, is it like the path of a ball thrown in cricket? like the arc it makes?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, diagrammatic, graphical, physical, question, representation_shift, request_representation","algebraic, curiosity, diagrammatic, graphical, question, representation_shift, request_representation"
1454,2,this is too confusing na. can you tell it like a story or something from daily life? i get it better that way.,EXPLAIN,EXPLAIN,(labels-only),"confusion, curiosity, physical, question, self_monitoring, transfer_attempt, verbal_analogy","confusion, curiosity, question, self_monitoring, transfer_attempt, verbal_analogy"
1461,2,can you give me one example from daily life for this topic?,ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"curiosity, example_request, physical, question, transfer_attempt","curiosity, example_request, question, transfer_attempt"
1462,2,"the zeroes of the quadratic, is it like where the ball lands if i throw it up and it goes in a curve?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, graphical, physical, question, representation_shift, request_representation","algebraic, curiosity, graphical, question, representation_shift, request_representation"
1470,2,"sir, is this concept used anywhere in real life? like what's the use of learning this?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt","abstraction_attempt, curiosity, question, transfer_attempt"
1476,2,"this is too abstract. can you give an example from my daily life, like buying something or planning a trip?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, transfer_attempt","abstraction_attempt, curiosity, example_request, question, transfer_attempt"
1479,2,can you explain this topic like a story? i understand things better with real life examples,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt, verbal_analogy","curiosity, question, transfer_attempt, verbal_analogy"
1482,2,where can i actually use this in real life? like what's the use?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1487,2,"that you-shape graph of quadratic, does it come from like the trajectory of a ball thrown? are they same thing only?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, diagrammatic, graphical, physical, question, representation_shift, request_representation","algebraic, curiosity, diagrammatic, graphical, question, representation_shift, request_representation"
1493,2,can you give me an example problem that uses this concept in a situation i might see in my everyday life?,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, curiosity, example_request, question","abstraction_attempt, curiosity, example_request, question"
1499,2,"can we use quadratic formula for something else also, like in daily life? or only for these math problems?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, procedural_focus, question, transfer_attempt","algebraic, curiosity, procedural_focus, question, transfer_attempt"
1500,2,"can you give me some other example of this, like not from maths? so i can understand it better?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, example_request, question, self_monitoring","curiosity, example_request, question, self_monitoring"
1502,2,i don't get it when you just speak. can you show me a picture or like draw it on board?,EXPLAIN,REPRESENTATION_TRANSLATION,visual->repr_translation,"anxiety, confusion, curiosity, diagrammatic, environmental_feedback, question, representation_shift, request_representation","anxiety, confusion, curiosity, diagrammatic, environmental_feedback, question, representation_shift, request_representation"
1503,2,so sin cos can measure tree height na? is that why we learn it? how does it work exactly?,EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1505,2,"volume of combined solids, is it like when i calculate how much water is in my water bottle with a cone top?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, diagrammatic, physical, procedural_focus, question, representation_shift, request_representation","algebraic, curiosity, diagrammatic, procedural_focus, question, representation_shift, request_representation"
1506,2,probability of getting a head or tail is 1/2. is it same logic for picking a red ball from a bag also?,REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, algebraic, cognitive_overload, curiosity, physical, question, representation_shift, request_representation","abstraction_attempt, algebraic, cognitive_overload, curiosity, question, representation_shift, request_representation"
1507,2,can you give an example from outside math? something easy to understand for this rule.,WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, example_request, high_confidence, question","curiosity, example_request, high_confidence, question"
1509,2,parabola is like that arc of the fountain water na? so the zeroes are where it hits the ground or starts?,EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, graphical, physical, question","algebraic, curiosity, graphical, question"
1510,2,APs... like what's the use of this in real life? like saving money or something?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1513,2,can you give me like an example from my daily life for this? like a real real one not some textbook example.,EXPLAIN,EXPLAIN,(labels-only),"conflict, curiosity, example_request, physical, question, transfer_attempt","conflict, curiosity, example_request, question, transfer_attempt"
1518,2,what's the big picture here? like what problem does this solve in real world?,REPRESENTATION_TRANSLATION,EXPLAIN,utility->explain,"curiosity, procedural_focus, question, representation_shift, request_representation","curiosity, procedural_focus, question"
1519,2,"sir why tangent is always 90 degree to the radius, like can you show a practical example where this happens? is it like a car tire on the road?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, diagrammatic, physical, question, transfer_attempt","curiosity, diagrammatic, question, transfer_attempt"
1520,2,can you give me a real life example for this concept? i can't see why we need to learn this,ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, low_confidence, physical, question, self_monitoring, transfer_attempt","abstraction_attempt, curiosity, example_request, low_confidence, question, self_monitoring, transfer_attempt"
1530,2,"Sir, these sin cos tan, what is the use of them? Like where do we actually see them in real life? Like measuring heights or something?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1539,2,"this concept na, like what's the use of it in our daily life? like where do we even see this?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt","abstraction_attempt, curiosity, question, transfer_attempt"
1546,2,"this proof by contradiction, like we assume something false to prove it true? can you give a non-maths example, like in a story or something?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, algebraic, curiosity, example_request, question, verbal_analogy","abstraction_attempt, algebraic, curiosity, example_request, question, verbal_analogy"
1549,2,"sir all this calculation and geometry na, like where do we use it outside school?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, procedural_focus, question, transfer_attempt","curiosity, procedural_focus, question, transfer_attempt"
1551,2,"this concept is very heavy na, can you give a simple example from like everyday life, not math one?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, curiosity, example_request, question, simplification_request","abstraction_attempt, curiosity, example_request, question, simplification_request"
1557,2,"this proof by contradiction for root 2 being irrational, it's like we assume it's rational to prove it's not? can you give a non-math example?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, algebraic, curiosity, example_request, question, verbal_analogy","abstraction_attempt, algebraic, curiosity, example_request, question, verbal_analogy"
1559,2,sir where will we use this concept in real life like what job or what thing?,EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt","abstraction_attempt, curiosity, question, transfer_attempt"
1561,2,"can you give me a non math example for this, something i can easily understand",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, example_request, question, self_monitoring","curiosity, example_request, question, self_monitoring"
1569,2,"sir why are we learning trigonometry? what is the use of sin cos in real life, like where do we use it?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1574,2,where will I actually use this in real life? like what is the practical purpose of learning this?,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
1582,2,"This abstract talk is too much. Can you give a simple real-life example where this concept is used, like what I see everyday?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"abstraction_attempt, cognitive_overload, curiosity, example_request, question, simplification_request","abstraction_attempt, cognitive_overload, curiosity, example_request, question, simplification_request"
1586,2,"Why are we learning about mean, median, mode? Like what is the use of all this in real life?",EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
1587,2,"AP in real life, can you give me some other examples, not just ladder steps or salaries? Like something else na.",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"algebraic, curiosity, example_request, physical, procedural_focus, question, transfer_attempt","algebraic, curiosity, example_request, procedural_focus, question, transfer_attempt"
1589,2,this concept... what is it useful for in real life? like why should i learn this?,EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt","abstraction_attempt, curiosity, question, transfer_attempt"
1591,2,can you explain this logic with something not math? like using a daily life example maybe?,EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt","abstraction_attempt, curiosity, question, transfer_attempt"
