row_index,changed_fields,old_student_utterance,new_student_utterance,old_miniLM_labels,new_miniLM_labels,old_hope_signals,new_hope_signals,old_target_policy_action,new_target_policy_action
2191,miniLM_labels;hope_signals;target_policy_action,"just give me a very easy example problem, like a simple daily life situation. not the complex ones please.","just give me a very easy example problem, like a simple daily life situation. not the complex ones please.","example_request, curiosity, request_hint, simplification_request","curiosity, example_request, high_confidence, physical, shortcut_seeking, simplification_request, transfer_attempt",Low productive_struggle,"Surface engagement, Low productive_struggle, High confidence, Mastery threshold met",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE
2192,student_utterance;miniLM_labels;hope_signals,"that U shape graph of quadratic equations, does it like show the path of a ball thrown? are they related?","that you shape graph of quadratic equations, does it like show the path of a ball thrown? are they related?","verbal_analogy, transfer_attempt, question","algebraic, curiosity, diagrammatic, graphical, physical, question, representation_shift, request_representation",High ki_score,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
2193,miniLM_labels;hope_signals;target_policy_action,what is the use of this in real life? like why should I even study this topic?,what is the use of this in real life? like why should I even study this topic?,"curiosity, disengagement, question","curiosity, physical, question, transfer_attempt","Moderate load_risk,Low productive_struggle","Active engagement, High ct_score, High ki_score, High ki_score opportunity",ANALOGOUS_EXAMPLE,EXPLAIN
2194,miniLM_labels;hope_signals;target_policy_action,"this quadratic equations for real life problems is important na. can you show one more unique problem, like different from the book?","this quadratic equations for real life problems is important na. can you show one more unique problem, like different from the book?","example_request, curiosity, transfer_attempt, question","algebraic, conflict, curiosity, physical, question, transfer_attempt",High ct_score,"Active misconception check, Active engagement, High ct_score, High ki_score",TRANSFER_PROBLEM,EXPLAIN
2195,miniLM_labels;hope_signals,sir is this math like used by engineers or something? like what's the use of this in real life?,sir is this math like used by engineers or something? like what's the use of this in real life?,"curiosity, transfer_attempt, question","curiosity, physical, question, transfer_attempt",High kt_score,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",EXPLAIN,EXPLAIN
2196,miniLM_labels;hope_signals;target_policy_action,"this sin cos tan, is it like a way to talk about triangles without drawing them? like a secret code for angles and sides?","this sin cos tan, is it like a way to talk about triangles without drawing them? like a secret code for angles and sides?","verbal_analogy, curiosity, abstraction_attempt, question","algebraic, curiosity, diagrammatic, question",High ki_score,"Active engagement, High ct_score, Moderate ki_score",VISUAL_ANALOGY,EXPLAIN
2197,miniLM_labels;hope_signals;target_policy_action,"BPT theorem, is it like similar triangles only? like when you cut a big triangle with a line parallel to one side, you get a smaller similar triangle? how does it relate?","BPT theorem, is it like similar triangles only? like when you cut a big triangle with a line parallel to one side, you get a smaller similar triangle? how does it relate?","transfer_attempt, question, curiosity","algebraic, curiosity, diagrammatic, question","Moderate ct_score, High ki_score","Active engagement, High ct_score, Moderate ki_score",BRIDGE_RECAP,EXPLAIN
2198,miniLM_labels;hope_signals;target_policy_action,this topic kinda reminds me of something we did in 9th na? like some basic part of it?,this topic kinda reminds me of something we did in 9th na? like some basic part of it?,"transfer_attempt, self_monitoring, question","curiosity, question, simplification_request","Prerequisite awareness, High ki_score","Active engagement, High ct_score, Moderate ki_score",BRIDGE_RECAP,SOCRATIC_Q
2199,miniLM_labels;hope_signals;target_policy_action,quadratic formula is like a master key for all quadratic equations na? it just solves everything?,quadratic formula is like a master key for all quadratic equations na? it just solves everything?,"verbal_analogy, curiosity, high_confidence, question","algebraic, curiosity, procedural_focus, question",High ct_score,"Active engagement, High ct_score, Moderate ki_score, Moderate kt_score",ENCOURAGE,SOCRATIC_Q
2200,miniLM_labels;hope_signals;target_policy_action,"can you show how this applies in like real world stuff, not just numbers?","can you show how this applies in like real world stuff, not just numbers?","curiosity, example_request, transfer_attempt, question","curiosity, question",High kt_score,"Active engagement, High ct_score, Moderate ki_score",ANALOGOUS_EXAMPLE,SOCRATIC_Q
2201,miniLM_labels;hope_signals;target_policy_action,"proof by contradiction, is it like you pretend something is true but then it breaks the rules so it must be false? like finding a lie?","proof by contradiction, is it like you pretend something is true but then it breaks the rules so it must be false? like finding a lie?","verbal_analogy, abstraction_attempt, question","abstraction_attempt, algebraic, curiosity, question","Moderate kt_score, High ki_score","Active engagement, High ct_score, High ki_score",VISUAL_ANALOGY,SOCRATIC_Q
2202,miniLM_labels;hope_signals;target_policy_action,when will we solve a big problem that uses all these formulas together na? like a full project type thing.,when will we solve a big problem that uses all these formulas together na? like a full project type thing.,"curiosity, transfer_attempt, ready_for_next, question","cognitive_overload, curiosity, procedural_focus, question","High kt_score, Active engagement","Moderate load_risk, Cognitive overload, Active engagement, High ct_score",TRANSFER_PROBLEM,EXPLAIN
2203,miniLM_labels;hope_signals;target_policy_action,"mean, median, mode. they are all averages na? but like which one to use when I talk about my class marks? which one is more fair?","mean, median, mode. they are all averages na? but like which one to use when I talk about my class marks? which one is more fair?","transfer_attempt, curiosity, question, abstraction_attempt","algebraic, anxiety, curiosity, question","High ki_score, Moderate ct_score","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
2204,miniLM_labels;hope_signals;target_policy_action,"distance formula, it's like Pythagorean theorem only na? but for points on a graph? like hyp is the distance?","distance formula, it's like Pythagorean theorem only na? but for points on a graph? like hyp is the distance?","transfer_attempt, verbal_analogy, curiosity, question","algebraic, curiosity, graphical, procedural_focus, question, representation_shift, request_representation","High ki_score, Moderate ct_score","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
2205,miniLM_labels;hope_signals;target_policy_action,"sir this root 2 irrational proof, can we use this same method for root 5 also? like same steps na?","sir this root 2 irrational proof, can we use this same method for root 5 also? like same steps na?","transfer_attempt, question, procedural_focus","abstraction_attempt, algebraic, curiosity, procedural_focus, question","Moderate ct_score,High ki_score","Active engagement, High ct_score, High ki_score, Moderate kt_score",ANALOGOUS_EXAMPLE,SOCRATIC_Q
2206,miniLM_labels;hope_signals,what's the point of learning this na? where does it actually apply in real life?,what's the point of learning this na? where does it actually apply in real life?,"curiosity, question, disengagement","curiosity, physical, question, transfer_attempt","Low productive_struggle,Moderate ct_score","Active engagement, High ct_score, High ki_score, High ki_score opportunity",EXPLAIN,EXPLAIN
2207,miniLM_labels;hope_signals;target_policy_action,"ap problems na, can i use them to calculate like how much money i'll have after saving same amount every month?","ap problems na, can i use them to calculate like how much money i'll have after saving same amount every month?","transfer_attempt, curiosity, verbal_analogy, question","algebraic, curiosity, procedural_focus, question","High ki_score,High ct_score","Active engagement, High ct_score, Moderate ki_score, Moderate kt_score",ANALOGOUS_EXAMPLE,SOCRATIC_Q
2208,miniLM_labels;hope_signals;target_policy_action,"this is too hard to visualize, can you use like a story to explain it? or something i can relate to?","this is too hard to visualize, can you use like a story to explain it? or something i can relate to?","request_representation, verbal_analogy, cognitive_overload, question","curiosity, frustration, question, self_monitoring, verbal_analogy","High load_risk,Active hint_dependency","Moderate load_risk, Active engagement, High ct_score, High ki_score",VISUAL_ANALOGY,VERBAL_ANALOGY
2209,student_utterance;miniLM_labels;hope_signals;target_policy_action,"tangent perpendicular to radius, is this why like car tires on flat road dont slip sideways? is it same principle?","tangent perpendicular to radius, is this why like car tires on flat road don't slip sideways? is it same principle?","transfer_attempt, curiosity, verbal_analogy, question","curiosity, diagrammatic, question","High ki_score,Moderate ct_score","Active engagement, High ct_score, Moderate ki_score",VISUAL_ANALOGY,EXPLAIN
2210,miniLM_labels;hope_signals,this new topic feels like a continuation of something from 9th. is it related or completely new?,this new topic feels like a continuation of something from 9th. is it related or completely new?,"transfer_attempt, curiosity, self_monitoring, question","curiosity, prerequisite_awareness, prerequisite_weakness, question","Prerequisite awareness,High ki_score","Prerequisite awareness, Prerequisite weakness, Active engagement, High ct_score",BRIDGE_RECAP,BRIDGE_RECAP
2211,miniLM_labels;hope_signals,"BPT theorem, can we use it for like shadows in the sunlight to measure height of tall buildings, like we did in junior classes?","BPT theorem, can we use it for like shadows in the sunlight to measure height of tall buildings, like we did in junior classes?","transfer_attempt, curiosity, example_request, question","algebraic, curiosity, physical, question, transfer_attempt","High ki_score,Moderate ct_score","Active engagement, High ct_score, High ki_score, High ki_score opportunity",TRANSFER_PROBLEM,TRANSFER_PROBLEM
2212,miniLM_labels;hope_signals,all these formulas make my head spin. can you show it like a flowchart or a mind map?,all these formulas make my head spin. can you show it like a flowchart or a mind map?,"request_representation, cognitive_overload, confusion, question","cognitive_overload, curiosity, graphical, question, representation_shift, request_representation","High load_risk,Active hint_dependency","Moderate load_risk, Cognitive overload, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
2213,student_utterance;miniLM_labels;hope_signals;target_policy_action,"that U shape graph of quadratic equations, does it like show the path of a stone thrown upwards? same shape na?","that you shape graph of quadratic equations, does it like show the path of a stone thrown upwards? same shape na?","verbal_analogy, transfer_attempt, question","algebraic, curiosity, diagrammatic, graphical, question, representation_shift, request_representation","High ki_score,Moderate ct_score","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
2214,miniLM_labels;hope_signals;target_policy_action,"mean, median, mode, they're all averages only. when should i use which one? like if i have student marks with some very high scores, which average is best?","mean, median, mode, they're all averages only. when should i use which one? like if i have student marks with some very high scores, which average is best?","curiosity, question, abstraction_attempt, example_request","algebraic, anxiety, curiosity, question","High kt_score,High ct_score","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
2215,miniLM_labels;hope_signals;target_policy_action,"sir this chapter na, is it like actually used anywhere outside math class?","sir this chapter na, is it like actually used anywhere outside math class?","curiosity, transfer_attempt, question","curiosity, question","Moderate ct_score,High ki_score","Active engagement, High ct_score, Moderate ki_score",EXPLAIN,SOCRATIC_Q
2216,miniLM_labels;hope_signals;target_policy_action,like sin cos is useful for measuring height of buildings without climbing na? is that the main use?,like sin cos is useful for measuring height of buildings without climbing na? is that the main use?,"transfer_attempt, curiosity, question","algebraic, curiosity, physical, question, self_monitoring, transfer_attempt","High ki_score,High ct_score","Active engagement, High ct_score, High ki_score, High ki_score opportunity",ANALOGOUS_EXAMPLE,EXPLAIN
2217,student_utterance;miniLM_labels;hope_signals;target_policy_action,can u give an example that is not in the book? like simple one.,can you give an example that is not in the book? like simple one.,"example_request, question, simplification_request","conflict, curiosity, example_request, question, simplification_request",Active hint_dependency,"Active misconception check, Active engagement, High ct_score, Moderate ki_score",ANALOGOUS_EXAMPLE,EXPLAIN
2218,miniLM_labels;hope_signals;target_policy_action,"BPT means if i have a smaller triangle and a bigger one, the sides are in ratio? like a scaled model?","BPT means if i have a smaller triangle and a bigger one, the sides are in ratio? like a scaled model?","verbal_analogy, question, transfer_attempt","algebraic, curiosity, diagrammatic, physical, question, representation_shift, request_representation","High kt_score,High ki_score","Active engagement, High ct_score, High ki_score, High ki_score opportunity",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
2219,miniLM_labels;hope_signals;target_policy_action,why are we learning this topic only? what is the main idea behind it?,why are we learning this topic only? what is the main idea behind it?,"curiosity, abstraction_attempt, question","curiosity, question",Moderate ct_score,"Active engagement, High ct_score, Moderate ki_score",EXPLAIN,SOCRATIC_Q
2220,miniLM_labels;hope_signals;target_policy_action,quadratic formula is like a general solution for all those x squared problems na? like a master key?,quadratic formula is like a general solution for all those x squared problems na? like a master key?,"verbal_analogy, abstraction_attempt, curiosity, question","algebraic, curiosity, procedural_focus, question, transfer_attempt","High kt_score,Moderate ct_score","Active engagement, High ct_score, High ki_score, High kt_score",EXPLAIN,TRANSFER_PROBLEM
2221,miniLM_labels;hope_signals;target_policy_action,"this proof by contradiction, is it like how lawyers argue? you assume the other side is right and then show it's impossible?","this proof by contradiction, is it like how lawyers argue? you assume the other side is right and then show it's impossible?","verbal_analogy, curiosity, transfer_attempt, question","abstraction_attempt, algebraic, answer_attempt, curiosity, question",High ki_score,"Active engagement, High ct_score, High ki_score, Moderate kt_score",SOCRATIC_COUNTEREXAMPLE,SOCRATIC_Q
2222,miniLM_labels;hope_signals;target_policy_action,"mean median mode are all averages. when do we use which one? like if there's a very high number in the data, which one is better representation?","mean median mode are all averages. when do we use which one? like if there's a very high number in the data, which one is better representation?","question, curiosity, transfer_attempt","algebraic, curiosity, question","High ct_score,High ki_score","Active engagement, High ct_score, Moderate ki_score",ANALOGOUS_EXAMPLE,SOCRATIC_Q
2223,miniLM_labels;hope_signals,"this is too much for today, my head is aching after so many sums","this is too much for today, my head is aching after so many sums","frustration, cognitive_overload, disengagement","cognitive_overload, frustration",High load_risk,"High load_risk, Cognitive overload",ENCOURAGE,ENCOURAGE
2224,miniLM_labels;hope_signals;target_policy_action,"can i just guess the answer for this na, seems too hard to calculate for this probability thing","can i just guess the answer for this na, seems too hard to calculate for this probability thing","shortcut_seeking, low_confidence, disengagement, question","algebraic, curiosity, frustration, procedural_focus, question, shortcut_seeking","Low productive_struggle, High load_risk","Moderate load_risk, Surface engagement, Low productive_struggle, Active engagement",METACOGNITIVE_REFLECT,ENCOURAGE
2225,student_utterance;miniLM_labels;hope_signals,"when will this chapter finish, its so long and boring","when will this chapter finish, it's so long and boring","disengagement, frustration, topic_shift, question","curiosity, disengagement, frustration, question",Surface engagement,"Moderate load_risk, Surface engagement, Low productive_struggle, Active engagement",ENCOURAGE,ENCOURAGE
2226,miniLM_labels;hope_signals,"just give me the final value please, i know how to solve it but calculation mistake ho jaati hai when i do it myself","just give me the final value please, i know how to solve it but calculation mistake ho jaati hai when i do it myself","shortcut_seeking, low_confidence, hint_dependency, request_hint","curiosity, procedural_focus, question, shortcut_seeking",Low productive_struggle,"Surface engagement, Low productive_struggle, Active engagement, High ct_score",METACOGNITIVE_REFLECT,METACOGNITIVE_REFLECT
2227,student_utterance;miniLM_labels;hope_signals;target_policy_action,"proof by contradiction is always so confusing, why cant we just prove it directly only na, this indirect method gives me a headache","proof by contradiction is always so confusing, why can't we just prove it directly only na, this indirect method gives me a headache","frustration, confusion, skepticism, cognitive_overload","abstraction_attempt, algebraic, cognitive_overload, confusion, frustration, low_confidence, procedural_focus, question, recurring_error, skepticism",High load_risk,"High load_risk, Low confidence, Cognitive overload, Recurring error",EXPLAIN,ENCOURAGE
2228,miniLM_labels;hope_signals;target_policy_action,"this AP sum formula, where do we actually use this in real life, seems so theoretical only","this AP sum formula, where do we actually use this in real life, seems so theoretical only","curiosity, disengagement, skepticism","algebraic, curiosity, physical, procedural_focus, question, transfer_attempt",Surface engagement,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",SOCRATIC_Q,EXPLAIN
2229,student_utterance;miniLM_labels;hope_signals;target_policy_action,"these surface area of combined shapes are too much to remember, cant i just find separate ones and add na? like cylinder plus cone ka area","these surface area of combined shapes are too much to remember, can't i just find separate ones and add na? like cylinder plus cone ka area","frustration, shortcut_seeking, cognitive_overload, misconception_clue, question","algebraic, cognitive_overload, curiosity, diagrammatic, low_confidence, question","High load_risk, Low productive_struggle","High load_risk, Low confidence, Cognitive overload, Active engagement",MISCONCEPTION_PROBE,ENCOURAGE
2230,student_utterance;miniLM_labels;hope_signals;target_policy_action,"i dont think i will ever get these sin cos values right, its too much memorization and i always mix up 30 and 60","i don't think i will ever get these sin cos values right, it's too much memorization and i always mix up 30 and 60","low_confidence, frustration, cognitive_overload, anxiety","algebraic, cognitive_overload, low_confidence, recurring_error",High load_risk,"High load_risk, Low confidence, Cognitive overload, Recurring error",ENCOURAGE,REVIEW
2231,student_utterance;miniLM_labels;hope_signals;target_policy_action,"quadratic formula always gives negative values inside root for me, why cant i just do factorization, its easier and faster","quadratic formula always gives negative values inside root for me, why can't i just do factorization, it's easier and faster","frustration, procedural_focus, shortcut_seeking, low_confidence, simplification_request","algebraic, curiosity, low_confidence, procedural_focus, question, self_monitoring, shortcut_seeking, simplification_request, skepticism","Moderate load_risk, Low productive_struggle","Moderate load_risk, Low confidence, Surface engagement, Low productive_struggle",MISCONCEPTION_PROBE,EXPLAIN
2232,miniLM_labels;hope_signals,"this is so boring, can we do something else now please?","this is so boring, can we do something else now please?","disengagement, frustration, topic_shift, question","curiosity, disengagement, frustration, question",Surface engagement,"Moderate load_risk, Surface engagement, Low productive_struggle, Active engagement",ENCOURAGE,ENCOURAGE
2233,miniLM_labels;hope_signals;target_policy_action,"I just want to pass this exam, not become a mathematician. This is too much detail.","I just want to pass this exam, not become a mathematician. This is too much detail.","disengagement, frustration, shortcut_seeking","anxiety, cognitive_overload",Low productive_struggle,"High load_risk, Anxiety, Cognitive overload",METACOGNITIVE_REFLECT,EXPLAIN
2234,miniLM_labels;hope_signals;target_policy_action,"This AP sum formula is too long, can't I just add all numbers manually for smaller problems na?","This AP sum formula is too long, can't I just add all numbers manually for smaller problems na?","shortcut_seeking, frustration, procedural_focus, question","algebraic, curiosity, low_confidence, procedural_focus, question","Low productive_struggle,High load_risk","Moderate load_risk, Low confidence, Active engagement, High ct_score",SOCRATIC_Q,ENCOURAGE
2235,miniLM_labels;hope_signals,"My brain is just full, can't take any more new things today.","My brain is just full, can't take any more new things today.","cognitive_overload, frustration, disengagement","cognitive_overload, low_confidence, self_monitoring",High load_risk,"High load_risk, Low confidence, Cognitive overload, Moderate ct_score",ENCOURAGE,ENCOURAGE
2236,miniLM_labels;hope_signals;target_policy_action,"Probability is all about luck na, why are we calculating this formula and all? It doesn't make sense.","Probability is all about luck na, why are we calculating this formula and all? It doesn't make sense.","frustration, skepticism, disengagement, question","algebraic, confusion, curiosity, misconception_clue, procedural_focus, question","Moderate ct_score,Low productive_struggle","Moderate load_risk, Active misconception, Active misconception check, Misconception clue",SOCRATIC_COUNTEREXAMPLE,MISCONCEPTION_PROBE
2237,miniLM_labels;hope_signals;target_policy_action,Why can't I just memorize the formulas for combined solids? All these steps for cutting and adding confuse me so much.,Why can't I just memorize the formulas for combined solids? All these steps for cutting and adding confuse me so much.,"shortcut_seeking, frustration, procedural_focus, question","confusion, curiosity, diagrammatic, low_confidence, procedural_focus, question, shortcut_seeking, skepticism","High load_risk,Low productive_struggle","High load_risk, Low confidence, Surface engagement, Low productive_struggle",EXPLAIN,REVIEW
2238,miniLM_labels;hope_signals,"Can we talk about something else? This topic is really boring, I'm losing focus.","Can we talk about something else? This topic is really boring, I'm losing focus.","disengagement, topic_shift, frustration, question","curiosity, disengagement, frustration, question",Surface engagement,"Moderate load_risk, Surface engagement, Low productive_struggle, Active engagement",ENCOURAGE,ENCOURAGE
2239,miniLM_labels;hope_signals,"I always mess up the plus minus in quadratic formula, it's so confusing. Is there no easier way?","I always mess up the plus minus in quadratic formula, it's so confusing. Is there no easier way?","frustration, low_confidence, confusion, procedural_focus, question, simplification_request","algebraic, confusion, curiosity, low_confidence, procedural_focus, question, recurring_error, simplification_request","High load_risk,Low productive_struggle","High load_risk, Low confidence, Recurring error, Recurring Misconception",REVIEW,REVIEW
2240,student_utterance;miniLM_labels;hope_signals;target_policy_action,"Just give me the answer pls, I'm tired of trying this again and again.","Just give me the answer please, I'm tired of trying this again and again.","shortcut_seeking, disengagement, frustration, request_hint","cognitive_overload, curiosity, procedural_focus, shortcut_seeking","Low productive_struggle,High load_risk","Moderate load_risk, Cognitive overload, Surface engagement, Low productive_struggle",METACOGNITIVE_REFLECT,EXPLAIN
2241,miniLM_labels;hope_signals;target_policy_action,"Proof by contradiction feels like a trick, why don't we just prove it directly like normal?","Proof by contradiction feels like a trick, why don't we just prove it directly like normal?","skepticism, disengagement, confusion, curiosity, question","abstraction_attempt, algebraic, curiosity, question, shortcut_seeking",Moderate ct_score,"Surface engagement, Low productive_struggle, Active engagement, High ct_score",SOCRATIC_Q,METACOGNITIVE_REFLECT
2242,miniLM_labels;hope_signals;target_policy_action,"All these sin cos identities are just too many to remember, why can't I use a calculator for all this?","All these sin cos identities are just too many to remember, why can't I use a calculator for all this?","frustration, low_confidence, shortcut_seeking, cognitive_overload, question","algebraic, cognitive_overload, curiosity, low_confidence, question, skepticism","High load_risk,Low productive_struggle","High load_risk, Low confidence, Cognitive overload, Active engagement",EXPLAIN,ENCOURAGE
2243,miniLM_labels;hope_signals;target_policy_action,"this chapter is so boring, why do we need to learn this much maths?","this chapter is so boring, why do we need to learn this much maths?","frustration, disengagement, curiosity, question","curiosity, disengagement, frustration, question","Low productive_struggle,High load_risk","Moderate load_risk, Surface engagement, Low productive_struggle, Active engagement",ENCOURAGE,EXPLAIN
2244,student_utterance;miniLM_labels;hope_signals;target_policy_action,i dont want to learn all those methods for mean. direct method is enough na. why waste time on assumed mean and step deviation?,i don't want to learn all those methods for mean. direct method is enough na. why waste time on assumed mean and step deviation?,"shortcut_seeking, frustration, procedural_focus, question","algebraic, curiosity, disengagement, procedural_focus, question, self_monitoring","Low productive_struggle,Surface engagement","Surface engagement, Low productive_struggle, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
2245,student_utterance;miniLM_labels;hope_signals;target_policy_action,"just tell me the final answer pls, i'm tired of solving","just tell me the final answer please, i'm tired of solving","shortcut_seeking, disengagement, frustration, request_hint","cognitive_overload, procedural_focus, shortcut_seeking","Low productive_struggle,High load_risk","Moderate load_risk, Cognitive overload, Surface engagement, Low productive_struggle",METACOGNITIVE_REFLECT,EXPLAIN
2246,miniLM_labels;hope_signals;target_policy_action,why are we doing these quadratic equations? this is so useless in real life.,why are we doing these quadratic equations? this is so useless in real life.,"disengagement, frustration, curiosity, question","algebraic, curiosity, physical, question, transfer_attempt","Low productive_struggle,Moderate ct_score","Active engagement, High ct_score, High ki_score, High ki_score opportunity",SOCRATIC_COUNTEREXAMPLE,EXPLAIN
2247,miniLM_labels;hope_signals;target_policy_action,"i just want to pass this exam, i don't need to understand everything","i just want to pass this exam, i don't need to understand everything","disengagement, low_confidence, shortcut_seeking",anxiety,"High load_risk,Surface engagement","Moderate load_risk, Anxiety",ENCOURAGE,EXPLAIN
2248,miniLM_labels;hope_signals,"this BPT theorem is confusing, can we skip it and do something easier like areas of circles?","this BPT theorem is confusing, can we skip it and do something easier like areas of circles?","confusion, topic_shift, disengagement, question, simplification_request","algebraic, confusion, curiosity, disengagement, question, simplification_request","High load_risk,Low productive_struggle","Moderate load_risk, Surface engagement, Low productive_struggle, Active engagement",EXPLAIN,EXPLAIN
2249,miniLM_labels;hope_signals,"i don't care about the proof, just tell me the formula ok?","i don't care about the proof, just tell me the formula ok?","shortcut_seeking, disengagement, procedural_focus, question, request_hint","abstraction_attempt, algebraic, curiosity, procedural_focus, question, shortcut_seeking","Low productive_struggle,Surface engagement","Surface engagement, Low productive_struggle, Active engagement, High ct_score",METACOGNITIVE_REFLECT,METACOGNITIVE_REFLECT
2250,miniLM_labels;hope_signals;target_policy_action,"all these numbers and factors for HCF LCM are too much for my head, can we just use a calculator?","all these numbers and factors for HCF LCM are too much for my head, can we just use a calculator?","frustration, shortcut_seeking, cognitive_overload, question","algebraic, cognitive_overload, curiosity, question","High load_risk,Low productive_struggle","Moderate load_risk, Cognitive overload, Active engagement, High ct_score",REVIEW,EXPLAIN
2251,student_utterance;miniLM_labels;hope_signals;target_policy_action,what if i dont remember all this in exam? it's too much to learn,what if i don't remember all this in exam? it's too much to learn,"anxiety, low_confidence, frustration, question","anxiety, cognitive_overload, curiosity, question",High load_risk,"High load_risk, Anxiety, Cognitive overload, Active engagement",ENCOURAGE,EXPLAIN
2252,miniLM_labels;hope_signals;target_policy_action,"these AP word problems are so confusing, i just want to finish this chapter already.","these AP word problems are so confusing, i just want to finish this chapter already.","frustration, disengagement, cognitive_overload","algebraic, confusion, disengagement, environmental_feedback, ready_for_next, topic_shift","High load_risk,Low productive_struggle","Moderate load_risk, Surface engagement, Low productive_struggle, Active engagement",WORKED_EXAMPLE,RESUME_STATE
2253,miniLM_labels;hope_signals;target_policy_action,"Why is this even important, like in real life I won't use it only na?","Why is this even important, like in real life I won't use it only na?","frustration, disengagement, curiosity, question","curiosity, physical, question, transfer_attempt","Low productive_struggle,Surface engagement","Active engagement, High ct_score, High ki_score, High ki_score opportunity",ENCOURAGE,EXPLAIN
2254,miniLM_labels;hope_signals;target_policy_action,"Just give me the formula for that quadratic thing, I don't wanna derive it or anything, just the final one.","Just give me the formula for that quadratic thing, I don't wanna derive it or anything, just the final one.","shortcut_seeking, disengagement, procedural_focus, request_hint","algebraic, curiosity, procedural_focus, shortcut_seeking","High load_risk,Low productive_struggle","Surface engagement, Low productive_struggle, Active engagement, High ct_score",METACOGNITIVE_REFLECT,WORKED_EXAMPLE
2255,miniLM_labels;hope_signals;target_policy_action,This whole topic is going above my head. Can we just move on?,This whole topic is going above my head. Can we just move on?,"confusion, disengagement, cognitive_overload, question","cognitive_overload, curiosity, disengagement, question, ready_for_next, topic_shift","High load_risk,Low productive_struggle","Moderate load_risk, Cognitive overload, Surface engagement, Low productive_struggle",REVIEW,RESUME_STATE
2256,miniLM_labels;hope_signals;target_policy_action,"Sin cos tan, always confusing. I'm just gonna guess in the exam.","Sin cos tan, always confusing. I'm just gonna guess in the exam.","frustration, low_confidence, disengagement","algebraic, anxiety, confusion, recurring_error, shortcut_seeking","Low productive_struggle,High load_risk","High load_risk, Anxiety, Recurring error, Recurring Misconception",ENCOURAGE,EXPLAIN
2257,miniLM_labels;hope_signals,"Is there a trick for this, or do I have to do all these long steps?","Is there a trick for this, or do I have to do all these long steps?","shortcut_seeking, procedural_focus, topic_shift, question","curiosity, procedural_focus, question, shortcut_seeking","Surface engagement,Moderate ct_score","Surface engagement, Low productive_struggle, Active engagement, High ct_score",METACOGNITIVE_REFLECT,METACOGNITIVE_REFLECT
2258,miniLM_labels;hope_signals;target_policy_action,"Proof by contradiction means I assume it's wrong then show it's right? Why not just prove it right directly, this is so complicated.","Proof by contradiction means I assume it's wrong then show it's right? Why not just prove it right directly, this is so complicated.","frustration, disengagement, confusion, question","abstraction_attempt, algebraic, answer_attempt, confusion, curiosity, low_confidence, question","High load_risk,Low productive_struggle","High load_risk, Low confidence, Active engagement, High ct_score",EXPLAIN,ENCOURAGE
2259,miniLM_labels;hope_signals;target_policy_action,"Sir, what if we just skipped this chapter? Will it come in boards for sure?","Sir, what if we just skipped this chapter? Will it come in boards for sure?","disengagement, shortcut_seeking, curiosity, question","anxiety, curiosity, disengagement, question","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",ENCOURAGE,EXPLAIN
2260,miniLM_labels;hope_signals;target_policy_action,"All these methods for mean, direct assumed step, too many steps and calculations. Can't we just use a calculator for all?","All these methods for mean, direct assumed step, too many steps and calculations. Can't we just use a calculator for all?","frustration, procedural_focus, shortcut_seeking, question","algebraic, cognitive_overload, curiosity, low_confidence, procedural_focus, question, self_monitoring","High load_risk,Low productive_struggle","High load_risk, Low confidence, Cognitive overload, Active engagement",METACOGNITIVE_REFLECT,ENCOURAGE
2261,miniLM_labels;hope_signals;target_policy_action,"BPT is so tough to remember, all the ratios and names. I always mix it up.","BPT is so tough to remember, all the ratios and names. I always mix it up.","low_confidence, confusion, frustration","algebraic, low_confidence, recurring_error","High load_risk,Low productive_struggle","Moderate load_risk, Low confidence, Recurring error, Recurring Misconception",SOCRATIC_Q,REVIEW
2262,miniLM_labels;hope_signals;target_policy_action,"Probability is just luck na, why are we doing maths for it? This is pointless.","Probability is just luck na, why are we doing maths for it? This is pointless.","skepticism, disengagement, frustration, question","algebraic, curiosity, misconception_clue, question","Low productive_struggle,Moderate ct_score","Active misconception check, Misconception clue, Active engagement, High ct_score",SOCRATIC_COUNTEREXAMPLE,MISCONCEPTION_PROBE
