student_utterance,concept_id,miniLM_labels,hope_signals,target_policy_action,category
what's the point of learning this if i can just google the answer later?,INHERIT_CURRENT_CONCEPT,"disengagement,curiosity","Low productive_struggle, Surface engagement",SOCRATIC_COUNTEREXAMPLE,3
"for nth term of ap, can i always use the formula direct or do i need to show full steps? my teacher cuts marks.",jemh105__nth_term_formula,"procedural_focus,hint_dependency,shortcut_seeking","Active hint_dependency, Surface engagement",METACOGNITIVE_REFLECT,3
"i feel like giving up, this chapter is too hard for me, i won't score good marks",INHERIT_CURRENT_CONCEPT,"frustration,low_confidence,anxiety","High load_risk, Low productive_struggle",ENCOURAGE,3
"all this probability is just guess work, how can formulas make it exact? it's not like science",jemh114__theoretical_probability_formula,"skepticism,disengagement,confusion","Low productive_struggle, Moderate ct_score",SOCRATIC_COUNTEREXAMPLE,3
"This chapter is so long na, when will it finish?",INHERIT_CURRENT_CONCEPT,"frustration,disengagement,topic_shift",Low productive_struggle,ENCOURAGE,3
"All these sin cos identities na, too many formulas. Just tell me which one to use for the exam.",jemh108__pythagorean_trig_identities,"frustration,shortcut_seeking,procedural_focus","High load_risk,Surface engagement",METACOGNITIVE_REFLECT,3
Can we skip this part? I don't think it will come in boards.,INHERIT_CURRENT_CONCEPT,"shortcut_seeking,disengagement,topic_shift","Low productive_struggle,Surface engagement",SOCRATIC_Q,3
"Proof by contradiction, it's just confusing my mind. Why do we assume something wrong to prove it right?",jemh101__proof_by_contradiction_method,"confusion,frustration,abstraction_attempt",High load_risk,EXPLAIN,3
"I'm just tired, my brain is not working anymore. Can we stop for today?",INHERIT_CURRENT_CONCEPT,"disengagement,frustration,cognitive_overload","High load_risk,Low productive_struggle",ENCOURAGE,3
These combined solids are too much to visualize. Can't I just memorize the steps for each type?,jemh112__surface_area_combined_solids,"shortcut_seeking,procedural_focus,disengagement",Surface engagement,METACOGNITIVE_REFLECT,3
"This is so boring, when will we do something fun?",INHERIT_CURRENT_CONCEPT,"disengagement,frustration",Low productive_struggle,ENCOURAGE,3
Quadratic formula is too long to remember. Is there a shorter way to solve these equations or do I have to use this every time?,jemh104__quadratic_formula,"shortcut_seeking,frustration,procedural_focus",High load_risk,SOCRATIC_Q,3
Are we done with this topic? I think I got it now.,INHERIT_CURRENT_CONCEPT,"low_confidence,ready_for_next,self_monitoring","Surface engagement,Low productive_struggle",METACOGNITIVE_REFLECT,3
"BPT is easy for simple triangles but when they twist the diagram, I don't get it. Do I just need to remember what to do for each diagram?",jemh106__basic_proportionality_theorem,"procedural_focus,confusion,low_confidence","Surface engagement,Moderate load_risk",SOCRATIC_Q,3
"this is so boring, i wanna do something else now",INHERIT_CURRENT_CONCEPT,"disengagement, frustration","Low productive_struggle, Surface engagement",ENCOURAGE,3
"quadratic formula is like too much to remember, can i just factorize always na for answers?",jemh104__quadratic_formula,"shortcut_seeking, frustration, procedural_focus","Low productive_struggle, High load_risk",METACOGNITIVE_REFLECT,3
"just tell me the final answer na, i promise i wont tell anyone that u told me",INHERIT_CURRENT_CONCEPT,"shortcut_seeking, disengagement","Low productive_struggle, Surface engagement",METACOGNITIVE_REFLECT,3
"why do we need so many methods for solving linear equations? elimination is fine na, i can use only that one",jemh103__elimination_method,"frustration, shortcut_seeking, procedural_focus","Low productive_struggle, High load_risk",SOCRATIC_Q,3
"i am just guessing randomly only, this is too hard and not making sense",INHERIT_CURRENT_CONCEPT,"low_confidence, frustration, disengagement","High load_risk, Low productive_struggle",ENCOURAGE,3
"these pythagorean identities na, are they like super important for boards or can i just skip them for now?",jemh108__pythagorean_trig_identities,"shortcut_seeking, low_confidence, curiosity",Surface engagement,SOCRATIC_Q,3
"why always circles and triangles? can we do something else, like geometry of buildings na, that would be interesting",jemh110__lines_and_circles_definitions,"disengagement, topic_shift, curiosity",Surface engagement,ENCOURAGE,3
"i just want to pass this chapter, not become a math expert only",INHERIT_CURRENT_CONCEPT,"disengagement, shortcut_seeking, low_confidence","Low productive_struggle, High load_risk",ENCOURAGE,3
"this proof by contradiction na, is so confusing and long, i just want to remember the conclusion na, is that ok for exam?",jemh101__proof_by_contradiction_method,"frustration, shortcut_seeking, cognitive_overload",High load_risk,EXPLAIN,3
"finding ratio of division, this is taking so much time, is there no faster way to do it for mcq questions?",jemh107__finding_division_ratio,"frustration, shortcut_seeking, procedural_focus","High load_risk, Low productive_struggle",SOCRATIC_Q,3
"substitution method is so slow man, can we just use elimination for all these sums?",jemh103__substitution_method,"shortcut_seeking,procedural_focus","Low productive_struggle,Surface engagement",SOCRATIC_Q,3
"i dont feel like doing this today, can we do something else?",INHERIT_CURRENT_CONCEPT,"disengagement,topic_shift","Low productive_struggle,High load_risk",ENCOURAGE,3
"this proof by contradiction na, it's so confusing to write down, i always mess up the steps.",jemh101__proof_by_contradiction_method,"confusion,frustration,procedural_focus","High load_risk,Low productive_struggle",WORKED_EXAMPLE,3
why are we learning about heights and distances na? like who even measures angles to find height of a pole?,jemh109__heights_distances_problem_solving,"curiosity,disengagement,skepticism","Moderate ct_score,Surface engagement",SOCRATIC_COUNTEREXAMPLE,3
"my head is just blank right now, too much info",INHERIT_CURRENT_CONCEPT,"cognitive_overload,frustration",High load_risk,REVIEW,3
"for these trig identity proofs, can i just assume LHS = RHS and work backwards to show it? my teacher says no but it's easier",jemh108__proving_trig_identities,"shortcut_seeking,procedural_focus,conflict","Low productive_struggle,Active misconception",MISCONCEPTION_PROBE,3
"too much effort yaar, can you just give me the formula and I will solve it?",INHERIT_CURRENT_CONCEPT,"shortcut_seeking,disengagement",Low productive_struggle,METACOGNITIVE_REFLECT,3
"this area of segment formula is so long to remember, always mixing up with sector area",jemh111__area_of_segment,"frustration,confusion,low_confidence",High load_risk,EXPLAIN,3
is this the last question on this topic? im bored now.,INHERIT_CURRENT_CONCEPT,"disengagement,topic_shift,ready_for_next",Surface engagement,ENCOURAGE,3
"BPT theorem, what's the use of this in real life? like will I ever use this property outside of school?",jemh106__basic_proportionality_theorem,"curiosity,skepticism,disengagement","Moderate ct_score,Surface engagement",ANALOGOUS_EXAMPLE,3
"this is getting too much now, my brain is fried",INHERIT_CURRENT_CONCEPT,"cognitive_overload,frustration","High load_risk,Low productive_struggle",ENCOURAGE,3
"root 5 is irrational, ok, but like how many times do we need to prove this? it's always the same steps only na, cant i just write its proven?",jemh101__proving_irrationality_root_n,"shortcut_seeking,frustration,procedural_focus","Low productive_struggle,Surface engagement",METACOGNITIVE_REFLECT,3
"can we just finish this topic already, its not making sense",INHERIT_CURRENT_CONCEPT,"disengagement,topic_shift,frustration","High load_risk,Low productive_struggle",ENCOURAGE,3
"all these trig identities are so confusing, why cant i just use the sin^2 + cos^2 = 1? do i really need to remember the sec^2 and cosec^2 ones?",jemh108__pythagorean_trig_identities,"frustration,shortcut_seeking,low_confidence","High load_risk,Low productive_struggle",SOCRATIC_Q,3
"i dont think i can understand this, its too hard for me",INHERIT_CURRENT_CONCEPT,"low_confidence,frustration,cognitive_overload","High load_risk,Low productive_struggle",ENCOURAGE,3
"if it's just about finding surface area of like a cylinder with a cone on top, can't I just add the formulas for cylinder and cone? why all these complex steps?",jemh112__surface_area_combined_solids,"shortcut_seeking,procedural_focus,misconception_clue","Surface engagement,Low productive_struggle",MISCONCEPTION_PROBE,3
"yeah whatever, just tell me what to write in exam",INHERIT_CURRENT_CONCEPT,"disengagement,shortcut_seeking,frustration","Low productive_struggle,High load_risk",METACOGNITIVE_REFLECT,3
"the quadratic formula is like so easy, why do we even need to learn factorization? can't we just always use the formula?",jemh104__quadratic_formula,"shortcut_seeking,procedural_focus,disengagement","Surface engagement,Moderate ct_score",SOCRATIC_Q,3
"this probability is just common sense only na, like how hard can it be? why so many formulas?",jemh114__theoretical_probability_formula,"skepticism,disengagement,procedural_focus","Low productive_struggle,Surface engagement",SOCRATIC_COUNTEREXAMPLE,3
"consistent, inconsistent, dependent... it's all just names, how will this help me solve problems? i just want to solve the sums fast",jemh103__system_classification,"frustration,shortcut_seeking,disengagement","High load_risk,Low productive_struggle",REVIEW,3
"ufff why is this so hard? i am just not getting it, cant we move to something easier?",INHERIT_CURRENT_CONCEPT,"frustration, disengagement, topic_shift","High load_risk, Low productive_struggle",ENCOURAGE,3
"quadratic formula always has that big square root thing na, can i just use calculator for that? in exam also?",jemh104__quadratic_formula,"shortcut_seeking, procedural_focus","Surface engagement, Low productive_struggle",METACOGNITIVE_REFLECT,3
"this is so boring, when will we use this? no use only for real life",INHERIT_CURRENT_CONCEPT,"disengagement, frustration, skepticism","Low productive_struggle, Moderate ct_score",SOCRATIC_Q,3
"i know basic proportionality theorem, next topic pls, it's easy",jemh106__basic_proportionality_theorem,"topic_shift, ready_for_next, low_confidence","Surface engagement, Partial mastery",QUIZ,3
"just tell me the answer na, i wont tell anyone you gave it to me",INHERIT_CURRENT_CONCEPT,"shortcut_seeking, hint_dependency","Low productive_struggle, High load_risk",METACOGNITIVE_REFLECT,3
"this root 3 irrational proof, it's too much writing, cant we just say it's irrational and move on?",jemh101__proving_irrationality_root_n,"frustration, disengagement, shortcut_seeking, procedural_focus","High load_risk, Low productive_struggle",SOCRATIC_Q,3
"i hate math so much, this is impossible for me, i will fail for sure",INHERIT_CURRENT_CONCEPT,"frustration, low_confidence, anxiety, disengagement","High load_risk, Low productive_struggle",ENCOURAGE,3
"all these different methods for mean, like assumed mean method, direct method... too confusing. which one is best to use always?",jemh113__mean_grouped_data,"confusion, shortcut_seeking, procedural_focus","High load_risk, Surface engagement",EXPLAIN,3
"can u just give me the main points na, like in bullet form? i dont want to read all this",INHERIT_CURRENT_CONCEPT,"shortcut_seeking, disengagement, cognitive_overload","High load_risk, Low productive_struggle",METACOGNITIVE_REFLECT,3
"whats the point of finding line of sight and angle of elevation, we are not going to be surveyors na?",jemh109__line_of_sight,"disengagement, skepticism, curiosity","Moderate ct_score, Low productive_struggle",SOCRATIC_Q,3
"this is too much theory for one day, my brain is fried",INHERIT_CURRENT_CONCEPT,"cognitive_overload,frustration,disengagement","High load_risk,Low productive_struggle",ENCOURAGE,3
"hcf and lcm is so basic na, why are we still doing this? can we skip?",jemh101__prime_factorization_hcf_lcm,"disengagement,shortcut_seeking,topic_shift","Surface engagement,Low productive_struggle",QUIZ,3
"just give me the answer pls, i dont have time for all these steps",INHERIT_CURRENT_CONCEPT,"shortcut_seeking,frustration","Low productive_struggle,High load_risk",METACOGNITIVE_REFLECT,3
"why do we need so many methods for linear equations? substitution, elimination... one is enough na?",jemh103__elimination_method,"frustration,shortcut_seeking,cognitive_overload","High load_risk,Moderate ct_score",EXPLAIN,3
"this chapter is just too hard, i give up",INHERIT_CURRENT_CONCEPT,"frustration,low_confidence,disengagement","High load_risk,Low productive_struggle",ENCOURAGE,3
"this AP sum formula is taking too long to calculate, any shortcut for competitive exams?",jemh105__sum_n_terms_formula,"shortcut_seeking,procedural_focus","Surface engagement,Low productive_struggle",SOCRATIC_Q,3
"can we just finish this topic already, i am so bored.",INHERIT_CURRENT_CONCEPT,"disengagement,frustration","Low productive_struggle,Surface engagement",ENCOURAGE,3
"like, these sin cos tan values, are they even useful for anything besides exams?",jemh108__fundamental_trig_ratios,"disengagement,curiosity,skepticism","Moderate ct_score,Surface engagement",SOCRATIC_Q,3
"probability is so easy why we need this formula and all, i can just guess the answer.",jemh114__theoretical_probability_formula,"shortcut_seeking,skepticism,disengagement","Low productive_struggle,Surface engagement",SOCRATIC_COUNTEREXAMPLE,3
"mean, median, mode are all averages only na? why learn three names for same thing",jemh113__interpreting_measures,"confusion,skepticism,disengagement","Moderate ct_score,Low productive_struggle",EXPLAIN,3
"math is just not for me, i just cant focus on this",INHERIT_CURRENT_CONCEPT,"disengagement,frustration,low_confidence","Low productive_struggle,High load_risk",ENCOURAGE,3
"this proof for root 2 irrational is so long na, can't we just say it's irrational and move on? will they cut marks if i don't do full proof?",jemh101__proving_irrationality_root_n,"shortcut_seeking,frustration,procedural_focus,anxiety","Low productive_struggle,High load_risk",METACOGNITIVE_REFLECT,3
my head is spinning from all this. can we take a break or like do something else?,INHERIT_CURRENT_CONCEPT,"cognitive_overload,disengagement,frustration","High load_risk,Low productive_struggle",ENCOURAGE,3
trigonometry is useless. what is use of this sin cos in my life? nobody uses it,jemh108__intro_trigonometry,"disengagement,skepticism,frustration","Surface engagement,Moderate ct_score",SOCRATIC_COUNTEREXAMPLE,3
"just tell me the final answer please, i promise i will try to understand it next time",INHERIT_CURRENT_CONCEPT,"shortcut_seeking,disengagement,hint_dependency","Low productive_struggle,High load_risk",METACOGNITIVE_REFLECT,3
"that U shape graph thingy for quadratic equations, i always get confused with it, is there any other way to just solve without graphs?",jemh102__quadratic_zero_geometry,"confusion,low_confidence,shortcut_seeking,procedural_focus","High load_risk,Low productive_struggle",REPRESENTATION_TRANSLATION,3
"this is getting boring yaar, can we do something else?",INHERIT_CURRENT_CONCEPT,"disengagement,frustration,topic_shift","Low productive_struggle,Surface engagement",ENCOURAGE,3
"why so many methods for linear equations? substitution, elimination, cross-multiplication... can't we just stick to one? elimination is easy na.",jemh103__elimination_method,"frustration,shortcut_seeking,procedural_focus","High load_risk,Surface engagement",EXPLAIN,3
"i dont get this discriminant thing at all, i will definitely get it wrong in the exam, this concept is too confusing",jemh104__discriminant_nature_of_roots,"low_confidence,anxiety,confusion,frustration","High load_risk,Low productive_struggle",ENCOURAGE,3
"tangent and radius perpendicular is easy to remember, but why is it like that? is there a simple reason or complicated proof?",jemh110__tangent_radius_perpendicularity,"curiosity,procedural_focus,shortcut_seeking","Moderate ct_score,Low productive_struggle",EXPLAIN,3
this is too much theory na. just tell me the type of sum so i can just apply formula.,INHERIT_CURRENT_CONCEPT,"shortcut_seeking, disengagement, procedural_focus","Low productive_struggle, High load_risk",METACOGNITIVE_REFLECT,3
"this proof by contradiction is so confusing, why cant we just prove it directly? what's the point of this indirect method?",jemh101__proof_by_contradiction_method,"confusion, skepticism, frustration","High load_risk, Low productive_struggle",SOCRATIC_Q,3
"sir i cant focus today, my head is full of other stuff.",INHERIT_CURRENT_CONCEPT,"disengagement, frustration, cognitive_overload","High load_risk, Low productive_struggle",ENCOURAGE,3
"quadratic formula is just for memorizing na, it doesn't really make sense how it works, just use it.",jemh104__quadratic_formula,"procedural_focus, shortcut_seeking, disengagement","Surface engagement, Low productive_struggle",EXPLAIN,3
can we skip this? i already know this from tuition.,INHERIT_CURRENT_CONCEPT,"topic_shift, shortcut_seeking, low_confidence","Low productive_struggle, Surface engagement",QUIZ,3
all these trig identities are making my head spin. is there a trick to remember them or like a cheat sheet?,jemh108__pythagorean_trig_identities,"frustration, shortcut_seeking, cognitive_overload","High load_risk, Low productive_struggle",METACOGNITIVE_REFLECT,3
"this is getting boring, can we do something else?",INHERIT_CURRENT_CONCEPT,"disengagement, frustration",Low productive_struggle,ENCOURAGE,3
"calculating surface area of combined solids is too long, like we have to find so many parts. can i just use a calculator for everything?",jemh112__surface_area_combined_solids,"shortcut_seeking, frustration, procedural_focus","High load_risk, Low productive_struggle",SOCRATIC_Q,3
is this even coming in the board exam for sure? or just extra stuff?,INHERIT_CURRENT_CONCEPT,"shortcut_seeking, skepticism, topic_shift","Surface engagement, Moderate ct_score",METACOGNITIVE_REFLECT,3
"BPT theorem, like what's the real use of it? does it have any real world application or just for exams?",jemh106__basic_proportionality_theorem,"skepticism, curiosity, disengagement","Moderate ct_score, Low productive_struggle",SOCRATIC_COUNTEREXAMPLE,3
"i just wanna pass this chapter na, what's the minimum i need to know?",INHERIT_CURRENT_CONCEPT,"shortcut_seeking,disengagement","Low productive_struggle,High load_risk",METACOGNITIVE_REFLECT,3
"this root 5 is irrational proof is too much for me, can we skip it? it's just rote learning.",jemh101__proving_irrationality_root_n,"frustration,disengagement,shortcut_seeking","High load_risk,Low productive_struggle",EXPLAIN,3
are we done with this topic yet? my brain is melting.,INHERIT_CURRENT_CONCEPT,"disengagement,frustration","Low productive_struggle,High load_risk",ENCOURAGE,3
do i really need to remember all these sin cos tan values? can't i just keep a table next to me for exams?,jemh108__trig_ratios_specific_angles,"shortcut_seeking,disengagement","Surface engagement,Moderate ct_score",SOCRATIC_Q,3
"this is so hard yaar, i don't understand anything.",INHERIT_CURRENT_CONCEPT,"frustration,low_confidence,confusion","High load_risk,Low productive_struggle",ENCOURAGE,3
what is the point of coordinate geometry? is it only for drawing maps and stuff?,jemh107__cartesian_coordinate_system,"curiosity,disengagement",Surface engagement,SOCRATIC_Q,3
"word problems on ap are always tricky, can we do only direct formula questions please?",jemh105__ap_applications,"shortcut_seeking,frustration,low_confidence","High load_risk,Low productive_struggle",METACOGNITIVE_REFLECT,3
"sir, is it true that next year we will learn about imaginary numbers? my brother told me.",INHERIT_CURRENT_CONCEPT,"topic_shift,disengagement,curiosity",Surface engagement,ENCOURAGE,3
"all these surface area and volume formulas are just too many to remember, which one is for which shape?",jemh112__properties_of_basic_3d_shapes,"cognitive_overload,frustration,confusion","High load_risk,Low productive_struggle",REVIEW,3
"probability is just luck, why are we calculating it with formulas? it's not like it helps you win lottery.",jemh114__theoretical_probability_formula,"skepticism,disengagement,frustration","Surface engagement,Moderate ct_score",SOCRATIC_COUNTEREXAMPLE,3
"sir pls just tell me how to do this sum fast, i dont have time for all this theory",INHERIT_CURRENT_CONCEPT,"shortcut_seeking, disengagement, frustration","Low productive_struggle, High load_risk",METACOGNITIVE_REFLECT,3
"this is getting too confusing, i think my brain is full now",INHERIT_CURRENT_CONCEPT,"cognitive_overload, disengagement, frustration","High load_risk, Low productive_struggle",ENCOURAGE,3
can we skip this? its not important for the exam na?,INHERIT_CURRENT_CONCEPT,"shortcut_seeking, disengagement, topic_shift","Surface engagement, Low productive_struggle",METACOGNITIVE_REFLECT,3
"my mind is just blank, i cant concentrate on anything now",INHERIT_CURRENT_CONCEPT,"disengagement, frustration, low_confidence","High load_risk, Low productive_struggle",ENCOURAGE,3
"just tell me the answer for this sum, i will copy it and do the next one properly",INHERIT_CURRENT_CONCEPT,"shortcut_seeking, disengagement","Surface engagement, Low productive_struggle",METACOGNITIVE_REFLECT,3
"all these sin cos identities are too much to remember, i just confuse everything, can i just learn 1-2 only?",jemh108__pythagorean_trig_identities,"frustration, shortcut_seeking, cognitive_overload","High load_risk, Low productive_struggle",REVIEW,3
"this contradiction thing is so silly, why cant we just prove it directly? feels like wasting time.",jemh101__proof_by_contradiction_method,"frustration, skepticism, disengagement","Low productive_struggle, Moderate ct_score",SOCRATIC_COUNTEREXAMPLE,3
"i always make mistakes in splitting the middle term, why cant i just use the quadratic formula only? its easier na",jemh104__solving_by_factorization,"frustration, shortcut_seeking, procedural_focus","High load_risk, Low productive_struggle",SOCRATIC_Q,3
"this mean calculation is too much work, my friend just uses a calculator, can i do that in exam?",jemh113__mean_grouped_data,"shortcut_seeking, disengagement, procedural_focus","Surface engagement, Low productive_struggle",METACOGNITIVE_REFLECT,3
"consistent, inconsistent, dependent... so many names for lines, its boring, what's the use of knowing all this?",jemh103__system_classification,"disengagement, frustration, curiosity","Low productive_struggle, Moderate ct_score",EXPLAIN,3
"this math is so hard man, i just cant think anymore",INHERIT_CURRENT_CONCEPT,"frustration,disengagement,cognitive_overload","High load_risk,Low productive_struggle",ENCOURAGE,3
"can you just give me the formula and i will mug it up, no need for proof",INHERIT_CURRENT_CONCEPT,"shortcut_seeking,procedural_focus","Low productive_struggle,Surface engagement",METACOGNITIVE_REFLECT,3
"what if i dont understand this part, can i still pass the exam?",INHERIT_CURRENT_CONCEPT,"anxiety,low_confidence,shortcut_seeking",High load_risk,ENCOURAGE,3
"ugh this is so boring, when will this class finish",INHERIT_CURRENT_CONCEPT,"disengagement,frustration",Low productive_struggle,ENCOURAGE,3
"pls just tell me the answer, i promise i will learn it later",INHERIT_CURRENT_CONCEPT,"shortcut_seeking,disengagement","Low productive_struggle,Surface engagement",METACOGNITIVE_REFLECT,3
"this proof by contradiction na, its like super confusing, why cant we just prove it directly only?",jemh101__proof_by_contradiction_method,"confusion,frustration,skepticism","High load_risk,Low productive_struggle",EXPLAIN,3
"finding nth term in AP is easy, but why so many steps? can i just guess the pattern or something?",jemh105__nth_term_formula,"shortcut_seeking,procedural_focus","Surface engagement,Low productive_struggle",SOCRATIC_Q,3
"all these trig identities proofs are too hard, i just memorize some patterns or something, is that ok?",jemh108__proving_trig_identities,"frustration,shortcut_seeking,low_confidence","High load_risk,Low productive_struggle",METACOGNITIVE_REFLECT,3
"this surface area of combined solids, it takes so long to calculate, can i just write the final answer in exam if i get it right?",jemh112__surface_area_combined_solids,"frustration,shortcut_seeking,procedural_focus","Low productive_struggle,Surface engagement",METACOGNITIVE_REFLECT,3
"mean of grouped data, direct method, assumed mean, step deviation, i only want to learn the easiest one, which is it?",jemh113__mean_grouped_data,"shortcut_seeking,procedural_focus,confusion","Low productive_struggle,Moderate ct_score",SOCRATIC_Q,3
"just give me the next step, i dont wanna think too much now",INHERIT_CURRENT_CONCEPT,"shortcut_seeking, disengagement","Low productive_struggle, Surface engagement",METACOGNITIVE_REFLECT,3
"this discriminant part is so confusing, i just want to remember the formula for roots, that's enough na?",jemh104__discriminant_nature_of_roots,"confusion, shortcut_seeking, low_confidence","High load_risk, Low productive_struggle",EXPLAIN,3
"can we just quickly finish this chapter, its so boring, my eyes are closing",INHERIT_CURRENT_CONCEPT,"disengagement, frustration, topic_shift","Low productive_struggle, Surface engagement",ENCOURAGE,3
"all these tangents and circles, i dont care, just tell me what to write in exam to get marks",jemh110__lines_and_circles_definitions,"disengagement, shortcut_seeking, frustration","High load_risk, Low productive_struggle",METACOGNITIVE_REFLECT,3
"i am feeling sleepy, can we take a break or like watch a small funny video?",INHERIT_CURRENT_CONCEPT,"disengagement, frustration",High load_risk,ENCOURAGE,3
probability means chance na? why cant i just guess the answer then? it works sometimes,jemh114__theoretical_probability_formula,"skepticism, shortcut_seeking, disengagement","Low productive_struggle, Moderate ct_score",SOCRATIC_COUNTEREXAMPLE,3
"all these methods for mean, why do we need 3? cant i just use direct method only always? it's simplest.",jemh113__mean_grouped_data,"shortcut_seeking, frustration, procedural_focus",Low productive_struggle,SOCRATIC_Q,3
"this is too hard for me, my brain is not working, i give up",INHERIT_CURRENT_CONCEPT,"low_confidence, frustration, disengagement","High load_risk, Low productive_struggle",ENCOURAGE,3
"why are we learning this BPT theorem, like what is its use? it seems useless for real life",jemh106__basic_proportionality_theorem,"disengagement, curiosity, skepticism","Surface engagement, Moderate ct_score",SOCRATIC_Q,3
"sir, this AP sum formula, if i forget it, can i just add all terms manually? its not that long for like 10-15 terms.",jemh105__sum_n_terms_formula,"shortcut_seeking, procedural_focus, low_confidence","Low productive_struggle, Surface engagement",METACOGNITIVE_REFLECT,3
i dont want to learn this. what is the use of this in my life na?,INHERIT_CURRENT_CONCEPT,"disengagement,frustration,curiosity",Low productive_struggle,METACOGNITIVE_REFLECT,3
"AP word problems are so hard, i just want to memorize the formula and put numbers. why do i have to read all that story?",jemh105__ap_applications,"frustration,shortcut_seeking,procedural_focus",High load_risk,ENCOURAGE,3
"this is too much for my brain right now, can we take a break?",INHERIT_CURRENT_CONCEPT,"cognitive_overload,disengagement,frustration",High load_risk,ENCOURAGE,3
why are these tangent lengths equal only? does it mean anything or just a math rule to remember?,jemh110__equal_tangent_lengths,"curiosity,skepticism,abstraction_attempt",Moderate ct_score,SOCRATIC_Q,3
"just give me the answer, i promise i will learn it later",INHERIT_CURRENT_CONCEPT,"shortcut_seeking,disengagement,frustration","Low productive_struggle,Surface engagement",METACOGNITIVE_REFLECT,3
"all these sin cos identities are just for showing off, what real problem needs me to change sec into tan? so confusing",jemh108__pythagorean_trig_identities,"frustration,disengagement,skepticism","High load_risk,Low productive_struggle",SOCRATIC_COUNTEREXAMPLE,3
"ugh this is so boring, when will i finish this chapter and move to something easy?",INHERIT_CURRENT_CONCEPT,"disengagement,frustration,topic_shift",Low productive_struggle,ENCOURAGE,3
"proof by contradiction is like such a headache, can't we just prove things directly? this indirect method is so annoying",jemh101__proof_by_contradiction_method,"frustration,disengagement,shortcut_seeking",High load_risk,EXPLAIN,3
direct method for mean is too much calculation. can i use step deviation always? its faster only na?,jemh113__mean_grouped_data,"shortcut_seeking,procedural_focus,curiosity",Surface engagement,EXPLAIN,3
"my brain is tired, i cant think anymore. this math is too much",INHERIT_CURRENT_CONCEPT,"cognitive_overload,frustration,disengagement",High load_risk,ENCOURAGE,3
"yaar this chapter is so long and boring, can we just finish it fast?",INHERIT_CURRENT_CONCEPT,"disengagement,frustration,shortcut_seeking","Low productive_struggle,High load_risk",ENCOURAGE,3
"trigonometry is like so complicated na, i dont even know what is the point of learning this angle stuff?",jemh108__intro_trigonometry,"frustration,disengagement,curiosity","Low productive_struggle,High load_risk",SOCRATIC_Q,3
"just tell me the answer directly please, i wont understand the steps only.",INHERIT_CURRENT_CONCEPT,"shortcut_seeking,frustration,hint_dependency","Low productive_struggle,High load_risk",METACOGNITIVE_REFLECT,3
"this proof by contradiction na, it feels like cheating. why cant we just prove it directly? too much confusing.",jemh101__proof_by_contradiction_method,"frustration,confusion,skepticism","Moderate load_risk,Low productive_struggle",EXPLAIN,3
"i am too tired for this, can we just do something easy now?",INHERIT_CURRENT_CONCEPT,"disengagement,frustration","Low productive_struggle,High load_risk",ENCOURAGE,3
"for AP, nth term formula na, i always mess up the (n-1)d part. can i just put values in calculator directly?",jemh105__nth_term_formula,"shortcut_seeking,procedural_focus,low_confidence","Surface engagement,Moderate load_risk",WORKED_EXAMPLE,3
"ok ok i get it, next topic please, this one is done.",INHERIT_CURRENT_CONCEPT,"topic_shift,ready_for_next,disengagement",Surface engagement,QUIZ,3
all these surface area calculations for combined solids are so messy. so many steps. is there like a shortcut to remember what to add and subtract?,jemh112__surface_area_combined_solids,"frustration,shortcut_seeking,cognitive_overload","High load_risk,Low productive_struggle",REPRESENTATION_TRANSLATION,3
"i always use elimination method, substitution method is too slow na. can i just ignore it?",jemh103__substitution_method,"shortcut_seeking,disengagement,procedural_focus","Surface engagement,Low productive_struggle",SOCRATIC_COUNTEREXAMPLE,3
"probability is just luck only, why do we need formulas for everything? it's not even real math.",jemh114__theoretical_probability_formula,"disengagement,skepticism,frustration","Low productive_struggle,High load_risk",SOCRATIC_COUNTEREXAMPLE,3
"uff i just want to finish this chapter na, when will it get over",INHERIT_CURRENT_CONCEPT,"frustration, disengagement",Low productive_struggle,ENCOURAGE,3
"this proof by contradiction is so tricky, can't i just mug up the steps? will the teacher know?",jemh101__proof_by_contradiction_method,"shortcut_seeking, frustration",High load_risk,METACOGNITIVE_REFLECT,3
"this is so booooring, why we learning this?",INHERIT_CURRENT_CONCEPT,"disengagement, frustration, curiosity",Low productive_struggle,ENCOURAGE,3
"this sum of AP formula is too long, can i just use a simpler method? like add manually for small n?",jemh105__sum_n_terms_formula,"shortcut_seeking, procedural_focus, frustration",Surface engagement,EXPLAIN,3
how many methods to know if equations are consistent or not? too many things to remember na,jemh103__system_classification,"cognitive_overload, confusion, frustration",High load_risk,REVIEW,3
"ok ok i get it, move on now, next topic pls",INHERIT_CURRENT_CONCEPT,"disengagement, ready_for_next, shortcut_seeking",Low productive_struggle,QUIZ,3
"sin square + cos square = 1, like what even is the use of this in real life? just formulas na",jemh108__pythagorean_trig_identities,"frustration, disengagement, curiosity",Moderate ct_score,SOCRATIC_Q,3
"everything is just jumbled in my head, i cant think straight",INHERIT_CURRENT_CONCEPT,"cognitive_overload, confusion, frustration",High load_risk,METACOGNITIVE_REFLECT,3
"for surface area of combined solids, can i just guess which parts to add or subtract? my teacher says no but it's confusing",jemh112__surface_area_combined_solids,"shortcut_seeking, confusion, low_confidence","Surface engagement, High load_risk",MISCONCEPTION_PROBE,3
